stock,momentum,quality,growth,vol,value,ln_mktcap,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
S064,0.00394375844931466,-0.000949151059701778,-0.0014284640700928154,0.0009016523591652414,0.0007512097493082025,-0.000957671114129956,0.000683663761601543,-0.00030731176041746077,2.9016921607569104e-05,0.009872393286484914,-0.004572425320107688,-0.0003459783137814285,-0.0006190071201622286,0.002441272825040357,0.0016354456433853078,0.0005401076843693207
S065,0.00017283116471621595,-0.0012965907945883426,0.0003556200587801651,0.0005828942138093542,0.0014248214021157666,0.0024093370649406302,8.396162610095681e-05,0.0007562656397573877,-0.0007849922152657544,0.0005748832031830805,-0.0015255774037672572,0.00016183913218114992,0.013422763525948699,0.00022955115773763164,-0.0018687435157838414,0.000995628246400866
S066,-0.002817847928620104,-1.9628487441701676e-05,-0.00017969789808432087,0.0024603127588761022,0.0010715095464859318,0.0012444461657854955,0.000383896316915029,-0.0008780271711315015,0.0009638527879687948,-0.0012477772185091806,0.0006542860010418959,-0.0012768151783508195,0.014237537832027948,-0.00022194635151941394,0.0012970711868090972,0.0017385979401595072
S067,5.615077086130759e-05,0.0027112455220367824,-0.00018974127875543226,-0.0017588907302645226,-0.0018932778249620484,-0.0009778913783897321,0.013938969928468145,-0.00020084936301727972,-3.085051631932721e-05,7.168764132954147e-05,0.001751925152888208,0.0007881137219545894,1.9351114793753135e-05,-0.0017381194529864704,0.000642147604515977,-0.0012425973986153788
S068,-0.001994330776177303,-0.00019858722554356116,-7.58479102255085e-05,-0.0005747367158150524,0.00047146986114945087,-0.0017427180006062235,-0.00034152684426237603,-0.0008416324470359469,4.4004052582293385e-05,-0.0010939046278559687,0.0031695148124407787,0.010212939159652022,0.0007001286144584897,-0.000601757178556915,0.000508067525367907,-0.0011584735036795524
S069,8.591376412501377e-05,0.007353716423988676,-0.0007701704285473321,-0.0025956334053901004,-0.003999130603419532,-0.00014885593284055896,-0.001020888218310756,-0.0006463127057710769,0.00019804594996252357,0.00035489517999820675,0.002219671010755118,0.011036541964352786,0.0003862009461473257,-0.004389199137909897,0.002170755744434233,-0.0011738590864866717
S070,0.0007152286109404952,-0.0012420155299031682,0.0007669415616872938,0.0007932849106619311,0.001345928335299134,0.0018370215349378597,0.0001742463504628197,0.000529336624912532,0.008770252488107373,0.0006339882951301127,-0.002240520134287335,-0.00017530935879157112,-4.257617138835287e-05,0.0007165538559521327,-0.001281848296351951,0.0011344314271202814
S071,-0.0008718489620928194,-0.002327107498405495,0.00039718423034515617,-9.402470327400463e-05,0.0010517460171231322,0.0020953590729629354,-2.693960435254779e-05,0.001333259286626664,-0.0010683858412083626,0.0002416569096803682,0.0004227918942155669,0.0004407800744669481,-0.00013622751393572289,0.022325946410304914,-0.0031203070335440656,0.00017588586393085608
S072,0.0002131696170709599,0.0007368070170053131,0.00028967625992062506,-0.003125537678811632,-0.0012464300613700217,-0.0029432323309191554,-0.0008267502305958006,-5.934132193399278e-05,-0.000638067054712008,-4.60128019711374e-05,0.02406071651978378,0.0015705828989916188,-0.00013271495531994802,-0.0010056166787810214,-0.0004918355167550437,-0.002889812470213037
S073,0.0024515372061213302,0.00030140469399029987,-6.965371778140737e-05,0.0011111577770773278,-0.0005706613076045081,0.0005337574596667939,0.000567502318584284,0.0002291161197691217,0.0006126904397671514,0.0008671240187794703,0.01708457013049416,-0.0009538106952387772,-0.0007588823566557455,0.0013192941214088991,0.0009614626672682851,0.0012681581243093002
S074,-0.0004756745696661807,0.0009367916662117648,0.0001058329010279027,0.00294787119438934,-0.0001702351851487596,0.0007044897323170122,0.0007625954533388814,-0.000888804373112056,0.0018295557882885896,0.008301017614306575,-0.0022012337678032914,-0.002141555141810621,0.00010550005361383859,0.0008038393490069833,0.0027011469955582723,0.0023883323943750764
S075,-0.002352649993128479,-0.0003547333978173634,-0.008702555013138057,0.0021355196473171875,0.0002958449168642786,-0.0016586797007471785,0.0010724251208246004,-0.0016866148796703265,-7.861993513219318e-05,-0.0022940471084377852,0.02424654098784631,8.510143430257586e-05,0.0009930537822384537,-1.9618335145581535e-05,0.004474659137363722,-0.0006382121758325952
S076,0.0014730152504257173,-0.0012011983034333619,0.0012344376574332724,0.00010331313513575302,-0.0018106421063530426,0.0025695543227435514,0.0004239732656600155,0.028127582211794445,-6.760444499939581e-05,0.0012958386235285158,-0.0024048632442542485,-0.0007349638423898553,-0.0017425798422778874,0.0009157639830204076,-0.0029857606025764415,0.000987260963375466
S077,0.00019300503060635632,0.002206294798573075,0.00011861572476120625,0.0011856275799181284,-0.0017007811587005622,0.0013036314021799302,0.0003360243849694603,5.479990257332935e-05,0.0011148778547303943,0.009023077744899065,-0.0015511206847894385,-0.0011888958009015202,-0.00034703073046157406,-0.00043723479082021947,0.0013224178487177217,0.0015016648617251784
S078,0.0011782204575750757,0.012103509498637513,0.00022380257368619403,-0.0023259738227426564,-0.008780336398859268,-0.0003664771838947625,-0.0007929383072766616,-0.000555569509821002,0.01163890347729703,0.0007280683522441537,0.0008461045648360427,-0.0005012348269405754,-0.0008024238899237138,-0.005306747732491002,0.004822590220998495,-0.00020088542358716105
S079,-0.004580774460075365,0.00028266723205412376,-0.0009175863171140592,0.007797011961010347,0.0061500957392323745,0.00040738742158289787,0.0011828019080715735,-0.005268434324663527,0.003020533168787666,-0.003207532974046882,-0.0021226003783040826,0.006322813065600088,0.003639223697058917,0.0012558663737549317,0.007814153091359657,0.005101034790979514
S080,-0.0011527579117734479,-0.001200087091846283,0.0008173039389169077,-0.0010356225145378714,-0.0014816636617086848,-0.0030295005989619834,-6.664869295257617e-05,0.00014173138913195222,0.0007140320005713026,-0.0009031372799280878,0.0031074250551550737,0.00949332600248409,-0.0006630406609887904,0.0006381970119140089,-0.00011688306973994529,-0.0017171015006654888
S081,0.0006678839159732753,-0.003479566741229378,-0.0002549240293641728,0.005614802081576964,0.0024232779080046525,-0.001703125445419227,0.0018644001619239126,-0.00184793855326731,0.0028088601256510497,-0.0011714936230529773,-0.004921329589678931,-0.0037833639411283338,0.013193403696225096,0.005014782256110058,0.004488142034689194,0.0032429096037937285
S082,-4.950669968731389e-05,-0.00023099631799060793,0.0001170451463429172,0.0010955792063670957,-0.0007800391191987317,-0.0010676471292609343,0.0004748110032090318,-0.0003010091221134765,0.010375152279746589,-0.00045744318042600745,-0.0004599023033813478,-0.0012479888334756817,-0.0004324070953384698,0.0010711185339940849,0.0014302948103217827,0.00048820461527004553
S083,0.005667870981384646,-0.00020521148745632922,-0.00011473564987268288,0.005195079385655206,0.00117763250541958,0.0007259434103909717,0.001867416981927683,-0.0011486260155766322,0.0023899259725013835,0.0013930351078136668,-0.010987422133374326,-0.0034645081715574144,0.012422513277506493,0.004677886419768724,0.0047850977581295135,0.004608251810570523
S085,0.00041328740755742187,-0.0005229503192315086,-0.0011864731336923104,0.0020044578548595315,-0.0003359561286376249,-0.0001312524977526181,0.0008319738105739413,-0.0002459899157279618,0.0010499471476554682,-0.0003071899870518355,-0.0017179560261814976,-0.0014286899755576868,-0.00041919858143305553,0.0014532954579289932,0.0017716830848438013,0.02501762762444943
